"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,6.3455423438084,0,0
"3",0,0,0,0,0,0,0,9.03678138835506,0,2.69123904454665
"4",0,0,0,0,0,0,-9.79101124341366,12.5915410099593,0,14.0547012256595
"5",0,-1.11255575343823,0,0,0,0,-10.5295051833297,12.8144931464841,0,14.6299459562841
"6",2.8281582875176,-6.42957887883931,0,0,0,0,-14.3417434894977,13.2526432879714,0,16.5023189557622
"7",3.3760296046774,-7.61151680750582,0,0,1.53963834100504,0,-16.7143381638885,11.4649988744511,0,16.8353744352118
"8",5.0580211312616,-12.6923166082474,0,0,80.76096152933,-69.0485213541325,-55.2256834451418,-7.25784801968048,0,13.1473828163551
"9",-28.6698422619265,11.8655351367856,0,0,-2334.45612371412,1912.41671542735,981.372800472875,163.713959055652,959.900443670947,-21.2687624543472
"10",-17.7243838615785,1.51518237284258,0,8.31457303403766,-1442.83991576641,1180.00829176316,599.394096913213,102.612939128233,602.97838560321,-10.2738205251352
"11",-0.476771324641473,-11.4199566364598,24.7542755614373,15.4471632233038,-37.7230553156338,22.7021827535075,4.8116462057785,8.43162743963082,35.7752057660687,3.22025649481181
